,be_num,num,sm_eqv,total,client_id,is_fraud
290,329,558,1.32500000000000,15000,38,No
291,332,561,1,12000,29,No
292,334,562,1,12000,109,No
293,325,556,1,37800,1,No
294,335,563,1,3500,110,No
295,336,564,0.177800000000000,6000,34,No
296,330,557,2,41400,34,No
297,338,566,1,13500,11,No
298,339,567,0.0399300000000000,1400,112,No
299,340,568,1,15000,11,No
300,341,569,4,40000,32,No
301,342,570,1,12000,109,No
302,344,571,1.50830000000000,18000,99,No
303,343,572,2,32500,10,No
304,345,573,1,9000,34,No
305,347,574,2,12000,11,No
306,349,575,1,12000,11,No
307,350,576,7,44000,17,Yes
308,351,577,1,14000,29,No
309,352,578,1,12000,11,No
310,354,580,1,15500,11,No
311,355,581,0.5,12000,11,No
312,357,583,0.443888000000000,6000,6,No
313,353,579,1,12000,28,No
314,359,585,0.181200000000000,1200,6,No
315,360,586,2,0,1,No
316,361,587,1,20000,113,No
317,356,582,4.82250000000000,21000,17,No
318,337,565,1.125,15000,111,No
319,363,589,1,600,10,No
320,362,588,1,12000,106,No
321,364,590,1,12000,29,No
322,365,591,0.260904000000000,12000,29,No
323,366,592,2,18000,38,No
324,368,594,0.600000000000000,6000,38,No
325,369,595,0.101250000000000,3000,10,No
326,367,593,4,21000,34,No
327,370,596,0.125,6000,11,No
328,371,252,4,58500,7,No
329,373,598,0.460000000000000,2400,77,No
330,374,255,1.35000000000000,23000,7,No
331,377,602,3,30000,17,No
332,375,601,1,12000,34,No
333,372,597,1.18423800000000,16200,34,No
334,378,603,0.110000000000000,3000,114,No
335,379,604,2,43500,65,No
336,376,605,1,7500,11,No
337,380,606,0.5,7000,11,No
338,381,330,1,12000,28,No
339,382,336,1.35000000000000,7200,4,No
340,383,607,1,12000,33,No
341,107,348,1.72900000000000,12800,6,No
342,389,613,6.93000000000000,63000,4,Yes
343,387,611,1,13500,11,No
344,392,617,0.400000000000000,6000,25,No
345,393,618,2,20000,32,No
346,391,616,2,21000,10,No
347,386,610,2,12000,69,No
348,385,609,5.42500000000000,12000,115,Yes
349,396,621,2,34000,12,No
350,397,622,1,16000,29,No
351,358,584,12,224000,12,Yes
352,399,624,0.200000000000000,5400,1,No
353,398,623,0.400000000000000,3000,11,No
354,395,620,1,10500,10,No
355,394,619,0.448000000000000,14000,10,No
356,400,625,0.360000000000000,2400,51,No
357,401,626,24,208000,89,Yes
358,402,627,4,5400,51,No
359,403,628,1,15000,55,No
360,405,630,2,20000,32,No
361,407,632,0.75,7500,11,No
362,406,631,1,7500,11,No
363,404,629,1,21500,10,No
364,408,615,1,21000,33,No
365,390,614,3,33000,33,No
366,388,612,0.780800000000000,14400,1,No
367,409,608,9,120000,65,Yes
368,413,636,1,1200,1,No
369,411,634,2,13800,84,No
370,412,635,2,36000,117,No
371,410,633,1,10000,116,No
372,415,638,0.5,12000,11,No
373,416,639,1,15000,117,No
374,418,640,2,12000,11,No
375,417,641,1,14000,28,No
376,419,642,1.32000000000000,9600,15,No
377,421,644,0.25,7500,11,No
378,420,643,5,60000,69,Yes
379,422,645,1,15000,10,No
380,423,646,1,15000,11,No
381,424,647,0.5,3000,11,No
382,425,648,4,4800,46,No
383,426,649,0.711000000000000,4000,77,No
384,427,650,1,12000,33,No
385,428,651,1,12000,10,No
386,429,652,1,12000,11,No
387,430,653,3.54000000000000,66500,17,No
388,431,654,0.160000000000000,1800,34,No
389,432,655,0.327600000000000,14100,11,No
390,434,657,1,12000,10,No
391,433,656,6,90000,118,Yes
392,198,436,1,29500,10,No
393,435,658,0.365000000000000,10500,11,No
394,437,660,2,20000,32,No
395,438,661,2,20000,16,No
396,439,662,3,45000,118,No
397,436,659,0.195000000000000,7800,28,No
398,414,637,1,0,28,No
399,440,663,1,12000,34,No
400,441,664,0.28125,10800,33,No
401,444,668,0.135000000000000,3000,11,No
402,443,666,1,12000,33,No
403,445,667,0.900000000000000,15000,28,No
404,442,665,1.42400000000000,46500,10,No
405,446,669,1,15500,10,No
406,447,670,1,19500,11,No
407,448,671,1,27500,10,No
408,451,674,8.37400000000000,109000,17,Yes
409,452,675,2,30000,12,No
410,449,672,2,30000,12,No
411,453,676,2,30000,120,No
412,454,677,1.60000000000000,10800,121,No
413,450,673,5,18000,119,Yes
414,455,678,1,12000,10,No
415,456,679,0.200000000000000,5400,1,No
416,457,680,2,20000,32,No
417,459,682,0.570000000000000,12600,10,No
418,461,684,2,2000,16,No
419,462,685,1,30000,11,No
420,460,683,1.07000000000000,29400,1,No
421,458,681,1,30000,11,No
422,463,686,0.472500000000000,15000,28,No
423,464,687,2,30000,29,No
424,465,688,0.25,9000,1,No
425,466,689,1,15000,10,No
426,467,690,1,6000,29,No
427,468,691,1,15000,10,No
428,477,700,0.400000000000000,6000,51,No
429,478,701,1,15000,122,No
430,476,699,2,24000,34,No
431,481,705,1,15000,29,No
432,480,704,0.5,14000,123,No
433,479,703,7,5400,100,Yes
434,474,697,7,87000,34,Yes
435,482,702,2,30000,51,No
436,483,706,4,32000,109,No
437,484,707,1,12000,51,No
438,485,708,1,6000,124,No
439,486,709,2,20000,32,No
440,473,694,0.480000000000000,8000,28,No
441,487,710,4.80000000000000,86000,104,Yes
442,488,711,0.185000000000000,6000,17,No
443,489,712,1,12000,51,No
444,490,713,1,2400,33,No
445,492,715,2,20000,96,No
446,491,714,1,10500,10,No
447,493,716,1,15000,34,No
448,494,717,1,10500,10,No
449,495,718,1,12000,11,No
450,496,719,1,16000,10,No
451,500,723,1,10500,10,No
452,498,721,0.25,3500,23,No
453,501,724,0.450000000000000,7000,28,No
454,497,720,1.37250000000000,32000,34,No
455,502,725,1,15000,12,No
456,503,726,0.100000000000000,1500,10,No
457,505,728,2,20000,32,No
458,506,732,1,15000,11,No
459,508,731,1.43640000000000,32000,125,No
460,507,729,0.448000000000000,24000,10,No
461,509,730,0.170000000000000,3000,12,No
462,504,727,1,14500,11,No
463,499,722,4,60000,17,No
464,510,733,1,15000,10,No
465,511,734,16,214000,7,Yes
466,512,735,1,8000,10,No
467,515,738,2,20000,7,No
468,513,737,1,14000,11,No
469,514,736,1,12000,32,No
470,516,740,0.420000000000000,14000,11,No
471,517,739,2.49090000000000,16200,17,No
472,520,743,1,12000,11,No
473,519,742,1,15500,11,No
474,518,741,2,31000,10,No
475,522,745,3,45000,126,No
476,523,746,1,18000,4,No
477,524,747,1,8000,10,No
478,526,749,1,14500,11,No
479,528,751,1,13500,11,No
480,530,753,1,10000,16,No
481,529,752,2.03703800000000,45000,58,No
482,527,750,1,31400,127,No
483,531,754,2,18000,34,No
484,532,755,2,18000,34,No
485,535,758,1.29500000000000,18000,29,No
486,533,756,1,12000,23,No
487,536,759,1,3600,128,No
488,534,757,2.63020000000000,23400,34,No
489,537,760,2,20000,32,No
490,538,761,0.25,7700,1,No
491,521,744,4,43000,1,No
492,525,748,0.800000000000000,16000,10,No
493,539,762,0.885000000000000,16200,34,No
494,540,763,1,9600,34,No
495,541,764,1,12000,11,No
496,543,766,0.160000000000000,3000,51,No
497,542,765,0.438000000000000,7800,34,No
498,544,767,1,12000,11,No
499,545,768,1,3000,17,No
500,546,769,2,12000,11,No
501,548,771,1.63550000000000,38000,115,No
502,547,770,1,15000,11,No
503,549,772,0.110000000000000,5000,97,No
504,550,773,0.627725000000000,12000,33,No
505,552,775,1,18500,11,No
506,556,779,3,96000,25,Yes
507,553,777,2,30000,12,No
508,557,780,1,15000,11,No
509,559,783,0.303500000000000,12000,33,No
510,555,778,2,31000,10,No
511,561,796,1,12000,11,No
512,562,785,0.444100000000000,10200,12,No
513,558,782,6,84600,17,Yes
514,554,776,0.236000000000000,3000,17,No
515,551,774,1,3000,12,No
516,564,788,1,12000,11,No
517,563,787,1.30000000000000,26400,129,No
518,565,789,4,31200,44,No
519,560,784,1,3000,12,No
520,566,790,1,12000,11,No
521,567,791,1,0,10,No
522,568,792,4,36000,12,No
523,570,794,2,24000,130,No
524,569,793,2,6000,12,No
525,571,795,0.936200000000000,6000,66,No
526,573,797,2,30000,12,No
527,572,786,1.30000000000000,24500,11,No
528,574,798,1,12000,51,No
529,575,799,2,30000,12,No
530,576,800,29.1000000000000,349200,131,Yes
531,577,801,2,32500,10,No
532,579,803,4,31200,44,No
533,578,802,0.0630000000000000,24000,38,No
534,580,804,0.630000000000000,3000,12,No
535,583,807,1,15000,10,No
536,582,806,0.100000000000000,4200,37,No
537,581,805,1,17500,10,No
538,584,808,1,14500,11,No
539,585,809,1,14000,132,No
540,586,810,2,20000,32,No
541,587,811,0.450000000000000,7200,1,No
542,589,812,0.235000000000000,0,1,No
543,588,813,2,39000,10,No
544,590,814,0.0297000000000000,3000,10,No
545,593,817,1,24000,10,No
546,594,818,4,45000,17,No
547,595,819,0.531800000000000,19500,99,No
548,596,820,0.370000000000000,7000,10,No
549,597,821,2,24000,10,No
550,598,822,2,24000,10,No
551,599,823,0.160000000000000,5000,37,No
552,600,824,11,33000,51,Yes
553,601,825,1,15000,103,No
554,592,816,4,48000,33,No
555,604,828,1.70000000000000,17400,12,No
556,603,827,1,7000,34,No
557,602,826,0.382300000000000,10800,34,No
558,607,830,2,24000,7,No
559,613,833,2,14000,25,No
560,614,834,0.100000000000000,3000,10,No
561,616,836,1,12000,10,No
562,615,835,2,24000,10,No
563,608,837,4,15000,12,No
564,618,839,1,15000,10,No
565,617,838,4,6000,117,No
566,620,841,1,6000,10,No
567,623,845,1,15000,10,No
568,632,853,0.280500000000000,7000,17,No
569,633,854,1,15000,10,No
570,630,851,0.320000000000000,7600,34,No
571,619,840,2,30000,117,No
572,624,846,0.550000000000000,15500,34,No
573,629,850,1,15000,10,No
574,635,856,3,24000,7,No
575,631,852,2,6000,12,No
576,636,857,0.630000000000000,30000,12,No
577,637,858,14,84000,4,Yes
578,640,860,0.700000000000000,7500,57,No
579,639,862,1,11400,57,No
580,638,859,5,15000,57,No
581,642,863,1,12000,51,No
582,644,865,0.338100000000000,7200,12,No
583,643,864,1,18000,10,No
584,641,861,2,6000,117,No
585,645,866,0.276250000000000,6000,12,No
586,628,849,1.06675000000000,36000,33,No
587,612,832,9,54000,51,Yes
588,621,842,0.896750000000000,18000,34,No
589,622,844,5,63000,34,No
590,646,867,2,30000,117,No
591,647,868,3,36000,7,No
592,606,829,1,12000,10,No
593,626,847,2,30000,30,No
594,627,848,1,12000,10,No
595,648,869,1,6000,10,No
596,649,870,1,6000,10,No
597,658,879,1,15000,133,No
598,657,87,2,30000,47,No
599,655,875,1,15000,55,No
600,654,876,2,20000,32,No
601,653,874,2,24000,34,No
602,634,855,2.16000000000000,9000,34,No
603,659,880,1.56100000000000,27500,10,No
604,656,877,1.35600000000000,19500,10,No
605,652,873,2,30000,17,No
606,651,872,1,15000,10,No
607,650,871,0.812950000000000,90000,33,Yes
608,660,881,0.630000000000000,6000,38,No
609,661,882,0.102300000000000,3000,34,No
610,662,883,2,0,10,No
611,664,885,3,12600,57,No
612,666,887,1,15000,10,No
613,663,884,1,13000,10,No
614,665,886,0.146200000000000,4900,23,No
615,667,888,0.114125000000000,6000,33,No
616,668,889,4,40000,32,No
617,669,890,1,15000,10,No
618,673,893,12,72000,4,Yes
619,674,894,1,6000,124,No
620,672,892,2,20000,32,No
621,671,891,0.400000000000000,6000,134,No
622,675,895,0.135000000000000,3000,1,No
623,676,896,1,6000,10,No
624,677,897,1,6000,10,No
625,678,898,1,12000,34,No
626,680,900,2,31000,10,No
627,679,899,0.910100000000000,31200,34,No
628,681,901,4.32400000000000,61200,17,No
629,682,902,4,21000,15,No
630,683,903,1,15000,10,No
631,684,904,0.166000000000000,8000,10,No
632,685,905,1,12000,10,No
633,686,906,1,15500,10,No
634,687,907,2,30000,109,No
635,688,908,1,12000,10,No
636,689,909,1,909,10,No
637,691,911,0.350000000000000,10500,10,No
638,690,910,1,6000,10,No
639,692,912,1,24000,10,No
640,693,913,1,48000,135,Yes
641,694,914,5,12000,28,No
642,695,915,4,12000,28,No
643,697,917,1,12000,10,No
644,696,916,0.410900000000000,10500,135,No
645,698,918,1,12000,10,No
646,699,919,1,6000,136,No
647,701,920,1,920,10,No
648,700,921,3,0,28,No
649,702,922,2,28200,55,No
650,703,923,2,27600,17,No
651,704,924,2,12000,28,No
652,707,927,1,12000,10,No
653,706,926,1,12000,28,No
654,708,928,1,27000,10,No
655,709,929,4,24000,137,No
656,705,925,1,12000,28,No
657,711,931,0.5,12000,28,No
658,710,930,1,9600,1,No
659,712,932,6,90000,117,Yes
660,713,933,4,40000,32,No
661,714,934,1,12000,10,No
662,715,935,0.600000000000000,15000,10,No
663,716,936,1,12000,10,No
664,717,937,0.745000000000000,14000,34,No
665,718,938,1,21000,10,No
666,719,939,1,12000,10,No
667,720,940,2,27000,10,No
668,721,941,1,15000,138,No
669,722,942,1.51280000000000,3600,77,No
670,723,943,2,24000,10,No
671,724,944,1.03850000000000,3600,77,No
672,725,945,1,22500,10,No
673,726,946,2,33000,17,No
674,728,948,0.25,15000,138,No
675,731,951,1,12000,10,No
676,732,952,2,20000,32,No
677,733,953,0.565000000000000,8000,10,No
678,734,954,4,62000,29,No
679,735,955,4.88000000000000,36000,77,No
680,737,957,2,20000,32,No
681,736,956,7,119000,140,Yes
682,738,958,1,14000,17,No
683,740,960,1,15000,12,No
684,739,950,5,81300,1,Yes
685,741,961,1,12000,115,No
686,742,963,1,6300,141,No
687,743,962,16,112000,89,Yes
688,748,968,0.5,12000,69,No
689,747,967,0.722000000000000,5400,66,No
690,746,966,0.375,8000,10,No
691,749,969,1,15000,29,No
692,750,970,0.358800000000000,14400,18,No
693,751,971,1,15000,10,No
694,754,973,0.0215000000000000,8000,10,No
695,755,974,1,6000,124,No
696,745,965,1,8000,28,No
697,757,976,5,54000,2,No
698,760,979,0.550000000000000,15500,28,No
699,759,978,1,12000,142,No
700,761,980,2,20000,32,No
701,762,981,1.71000000000000,31000,10,No
702,744,964,4,60000,12,No
703,771,991,1,13500,10,No
704,770,990,0.454860000000000,20000,145,No
705,769,989,1,6000,115,No
706,768,988,4,54000,3,No
707,767,987,1,12000,144,No
708,766,986,15,90000,143,Yes
709,772,992,0.577500000000000,19000,10,No
710,773,993,1,12000,10,No
711,774,994,1,12000,60,No
712,775,995,1,12000,141,No
713,776,996,5,75000,8,No
714,777,997,1,2400,28,No
715,778,998,2,16000,55,No
716,779,999,1,1200,28,No
717,780,1000,1,14000,28,No
718,782,1002,1,0,10,No
719,783,1003,2,24000,33,No
720,781,1004,3,17000,34,No
721,789,1009,2,24000,10,No
722,785,1005,4,57000,28,No
723,795,1017,1,12000,43,No
724,796,1018,2,7200,15,No
725,797,1019,0.25,1800,37,No
726,794,1016,6,62400,117,Yes
727,798,1020,1,24000,1,No
728,799,1021,1,6000,117,No
729,784,1013,1,11400,34,No
730,793,1014,4.5,30000,15,No
731,791,1012,0.320000000000000,7800,12,No
732,800,1011,0.240000000000000,7800,1,No
733,790,1010,3.19200000000000,19200,4,No
734,788,1008,0.400000000000000,3000,33,No
735,787,1007,1,15000,146,No
736,786,1006,4,40000,32,No
737,801,1022,0.397000000000000,12000,28,No
738,802,1023,1,33500,34,No
739,803,1025,1,10000,116,No
740,804,1024,5,60000,148,Yes
741,805,1026,1,17400,1,No
742,806,1027,1,12000,10,No
743,807,1028,0.108000000000000,5400,84,No
744,808,1015,0.400000000000000,20000,127,No
745,810,1030,1,22500,115,No
746,809,1029,6,144000,149,Yes
747,814,1034,1,18000,10,No
748,812,1032,5,54000,2,No
749,813,1033,4,72000,33,No
750,815,1035,0.327500000000000,7000,7,No
751,817,1037,1,12000,10,No
752,820,1040,0.420000000000000,3000,117,No
753,821,41,1,14000,10,No
754,822,1042,3,32000,32,No
755,823,1043,0.200000000000000,3000,57,No
756,824,1044,0.25,7500,57,No
757,825,1045,2,20000,32,No
758,826,1046,20,140000,89,Yes
759,827,1047,2,12000,150,No
760,829,1049,2,18000,28,No
761,831,52,1,4000,10,No
762,834,1055,0.295000000000000,3000,10,No
763,832,1053,2,20000,32,No
764,835,1056,1,12000,69,No
765,837,1057,1,14000,10,No
766,836,1058,1,14000,10,No
767,841,1062,1,10800,152,No
768,840,1061,1,12000,151,No
769,838,1059,1.10000000000000,21000,34,No
770,842,1063,4,24000,115,No
771,843,1064,1,12000,10,No
772,846,1067,2,20000,32,No
773,845,1066,1,15000,44,No
774,850,1071,0.525000000000000,2400,51,No
775,849,1070,1,14500,10,No
776,848,1069,4,19200,51,No
777,851,1072,0.200000000000000,4200,117,No
778,852,1073,1,12000,10,No
779,853,1074,1,15000,10,No
780,854,1075,1,6000,98,No
781,855,1076,3,55500,3,No
782,856,1077,0.240000000000000,6000,37,No
783,857,1078,2,12000,51,No
784,858,1079,2.60500000000000,12000,29,No
785,859,1080,10,120000,36,Yes
786,860,1081,3,14000,28,No
787,864,1086,1,15000,10,No
788,868,1090,1,15000,29,No
789,869,1091,5,70200,66,Yes
790,870,1092,4,24000,15,No
791,871,1093,3.66000000000000,27000,120,No
792,873,1095,2.44000000000000,18000,120,No
793,865,1097,2.39000000000000,24000,28,No
794,874,1087,1,15000,10,No
795,875,1096,1,21000,133,No
796,876,1098,1,15000,10,No
797,877,1099,1,12000,10,No
798,878,1100,3,65000,29,No
799,879,1101,1.50150000000000,33500,115,No
800,882,1104,1,21000,82,No
801,883,1107,2,20000,32,No
802,884,1108,1,14500,10,No
803,885,1109,7,87000,7,Yes
804,886,1110,1,4000,10,No
805,888,1112,2,20000,28,No
806,889,1113,1,8000,68,No
807,890,1114,0.646600000000000,6000,4,No
808,891,1115,1,15000,3,No
809,892,1116,1,33000,157,No
810,893,1117,2,30000,157,No
811,894,1118,6,42000,89,Yes
812,895,1119,1,29000,28,No
813,896,1120,2.17500000000000,57600,117,No
814,897,1121,0.675000000000000,8800,68,No
815,898,1122,2,24000,10,No
816,899,1123,1.5,38400,117,No
817,900,1124,0.184500000000000,16800,158,No
818,901,1125,4,60000,58,No
819,916,1140,2,20000,32,No
820,920,1144,4,60000,29,No
821,902,1126,9,49000,117,Yes
822,903,1127,1,13500,156,No
823,904,1128,0.230550000000000,3000,75,No
824,905,1129,2,27000,117,No
825,906,1130,3,32000,32,No
826,907,1131,33,198000,159,Yes
827,908,1132,4,60000,7,No
828,909,1133,1,6000,29,No
829,910,1134,1,12000,10,No
830,911,1135,2,36000,105,No
